SMILES,pIC50,QED,SA_Score,Mol_Weight,LogP,TPSA,Lipinski_Violations,Toxicophore,Comment,combined_score
CS(=O)(=O)Nc1ccncc1Sc1ccccc1,6.97163595568722,0.9349220250036162,1.0,280.374,2.6043000000000003,59.06,0,0,Passed all filters with QED optimization,8.841480005694452
CS(=O)(=O)Nc1cc2c(cc1Sc1cccs1)C(=O)CC2,6.978606060205124,0.927146267857615,1.0,339.46300000000014,3.399700000000002,63.24,0,0,Passed all filters with QED optimization,8.832898595920353
NS(=O)(=O)c1ccc(-c2coc(=O)n2C2CCCCC2)cc1,6.946750681964297,0.9372515086347478,1.0,322.3860000000001,2.2609000000000004,95.30000000000001,0,0,Passed all filters with QED optimization,8.821253699233793
NS(=O)(=O)c1ccc(N2CCN=C2c2ccc(Cl)cc2)cc1,6.95196386280038,0.9343036451500741,1.0,335.816,2.2542,75.76,0,0,Passed all filters with QED optimization,8.820571153100527
Cc1c(CC(=O)O)cccc1-c1ccn(C(F)F)c(=O)c1,6.934403592310309,0.9426183631068068,1.0,293.269,2.8459200000000013,59.3,0,1,Passed all filters with QED optimization,8.819640318523923
CS(=O)(=O)c1ccc(C2=C(c3ccc(CO)cc3)CCC2)cc1,6.9541963389223,0.9313322124960625,1.0,328.4330000000001,3.677100000000003,54.370000000000005,0,0,Passed all filters with QED optimization,8.816860763914425
COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1F,6.977491286547421,0.9189750582347882,1.0,347.4110000000001,3.5764000000000022,69.39,0,0,Passed all filters with QED optimization,8.815441403016997
NS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CC3)C2)cc1,6.973823240084817,0.916886363964973,1.0,343.4230000000002,3.957900000000003,60.160000000000004,0,0,Passed all filters with QED optimization,8.807595968014763
O=C(O)[C@H]1C[C@](O)(c2ccc(F)cc2)[C@@H](c2ccc(F)cc2)O1,6.974806440979283,0.9124594330503687,1.0,320.29100000000005,2.7672000000000008,66.76,0,1,Passed all filters with QED optimization,8.79972530708002
N#Cc1c(-c2ccc(Cl)cc2)csc1NC(=O)CN1CCOCC1,6.983936606391342,0.9076629253102753,1.0,361.85400000000027,3.2108800000000013,65.36,0,1,Passed all filters with QED optimization,8.799262457011892
